,lengthOfEmailId,noOfDotsInEmailId,noOfDashesInEmailId,noOfSpecialCharsInEmailId,noOfDigitsInEmailId,noOfSubdomainsInEmailId,noOfUrls,noOfDotsInUrls,noOfDashesInUrls,noOfSpecialCharsInUrls,hasIpAddressInUrls,noOfIpAddressInUrls,noOfHttpsLinks,no_of_attachments,class_label,noOfMaliciousWords
0,29,0,0,1,3,0,2,5,0,2,1,1,1,1,1,6
1,21,0,0,0,0,0,2,5,1,9,0,0,0,0,1,46
2,21,0,0,0,0,0,2,6,1,8,0,0,0,0,1,28
3,19,0,0,0,0,0,3,8,0,6,1,1,1,0,1,70
4,19,0,0,0,0,0,3,8,0,6,1,1,1,0,1,70
5,23,0,1,0,0,0,3,11,2,10,0,0,1,0,1,64
6,18,0,0,0,0,0,2,6,3,7,0,0,1,0,1,54
7,18,0,0,0,0,0,5,12,6,14,0,0,1,0,1,77
8,18,0,0,0,0,0,7,16,4,23,0,0,1,0,1,91
9,34,0,0,1,7,0,2,8,0,2,1,1,1,1,1,5
10,21,0,1,0,2,0,7,22,1,10,0,0,0,0,1,53
11,24,0,0,0,0,0,4,15,1,5,1,1,1,0,1,106
12,18,0,0,0,0,0,5,14,5,12,0,0,3,0,1,100
13,19,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
14,15,0,0,0,0,0,20,60,2,27,1,1,2,0,1,110
15,35,0,0,2,8,0,2,8,0,2,1,1,1,1,1,6
16,19,0,1,0,0,0,8,26,3,14,1,1,0,0,1,104
17,17,0,1,0,0,0,11,32,5,21,0,0,0,0,1,84
18,16,0,0,0,0,0,5,14,0,8,1,1,0,0,1,59
19,16,0,0,0,0,0,5,14,0,8,1,1,0,0,1,59
20,22,0,0,0,0,0,3,11,0,5,1,1,1,0,1,48
21,22,0,0,0,0,0,3,11,0,5,1,1,1,0,1,48
22,22,0,0,0,0,0,3,10,0,3,0,0,1,0,1,3
23,18,0,0,0,0,0,4,9,3,12,0,0,1,0,1,57
24,18,0,0,0,0,0,4,9,4,12,0,0,1,0,1,57
25,19,0,0,0,0,0,3,11,0,6,1,3,0,0,1,25
26,22,0,0,0,0,0,3,12,1,5,1,1,1,0,1,48
27,32,0,0,1,5,0,2,5,0,3,1,1,1,1,1,3
28,37,0,0,2,6,0,2,5,0,3,1,1,1,1,1,7
29,24,0,0,0,0,0,3,13,0,7,0,0,1,0,1,80
30,25,0,0,0,0,0,3,11,0,6,1,1,1,0,1,18
31,18,0,0,0,0,0,2,8,0,5,1,1,1,0,1,38
32,25,0,0,0,0,0,2,9,0,6,1,1,1,0,1,45
33,21,0,1,0,2,0,19,58,4,50,1,1,0,0,1,105
34,21,0,1,0,2,0,19,58,4,50,1,1,0,0,1,105
35,23,0,0,0,0,0,3,13,2,12,1,1,1,0,1,70
36,18,0,0,0,0,0,5,12,6,14,0,0,1,0,1,75
37,30,0,0,2,2,0,2,6,0,5,1,1,0,1,1,5
38,22,0,0,2,2,0,2,7,0,8,1,1,1,1,1,6
39,21,0,1,0,2,0,20,65,8,52,1,3,0,0,1,106
40,18,0,0,0,0,0,1,4,1,9,0,0,0,0,1,23
41,25,0,0,2,5,0,2,7,0,8,1,1,1,1,1,7
42,16,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4
43,16,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3
44,16,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3
45,25,0,0,0,0,0,2,8,0,2,1,1,0,0,1,46
46,17,0,0,0,0,0,7,21,2,8,0,0,0,0,1,80
47,17,0,0,0,0,0,11,27,1,18,0,0,5,0,1,96
48,25,0,0,0,0,0,1,7,0,2,1,1,0,0,1,20
49,25,0,0,0,0,0,3,12,0,4,1,1,1,0,1,68
50,26,0,0,0,0,0,1,7,0,2,1,1,0,0,1,20
51,16,0,0,0,0,0,17,57,6,29,0,0,2,0,1,59
52,21,0,1,0,2,0,20,64,8,52,1,3,0,0,1,106
53,18,0,0,0,0,0,1,4,0,1,0,0,0,0,1,83
54,23,0,0,0,0,0,19,54,1,28,1,1,3,0,1,109
55,26,0,0,0,0,0,5,12,0,9,1,1,1,0,1,103
56,22,0,0,0,0,0,4,15,0,6,1,2,0,0,1,82
57,24,0,0,0,0,1,8,19,5,19,1,1,2,0,1,91
58,18,0,0,0,0,0,2,6,3,7,0,0,1,0,1,55
59,25,0,0,2,4,0,2,7,0,8,1,1,1,1,1,4
60,25,0,0,0,0,0,2,7,0,3,0,0,0,0,1,48
61,26,0,0,1,0,0,0,0,0,0,0,0,0,0,1,25
62,26,0,0,1,0,0,0,0,0,0,0,0,0,0,1,25
63,26,0,0,1,0,0,0,0,0,0,0,0,0,0,1,25
64,26,0,0,1,0,0,0,0,0,0,0,0,0,0,1,25
65,17,0,0,0,0,0,7,20,2,8,1,1,0,0,1,82
66,19,0,0,0,0,0,6,15,3,16,1,1,1,0,1,117
67,18,0,0,0,0,0,10,31,3,22,1,3,0,0,1,95
68,12,0,0,0,0,0,8,28,4,10,0,0,0,0,1,104
69,18,0,0,0,0,0,8,21,3,21,0,0,0,0,1,61
70,17,0,0,0,0,0,8,24,3,20,0,0,2,0,1,83
71,24,0,0,0,0,0,4,13,1,8,1,1,0,0,1,73
72,33,0,0,1,13,0,2,7,0,8,1,1,1,1,1,6
73,17,0,0,0,0,0,7,21,3,24,1,1,0,0,1,138
74,17,0,0,0,0,0,7,21,3,24,1,1,0,0,1,138
75,18,0,0,0,0,0,4,11,3,12,1,1,2,0,1,84
76,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22
77,23,0,0,0,0,1,6,16,1,9,0,0,3,0,1,87
78,30,0,0,0,0,0,3,12,3,5,0,0,1,0,1,107
79,19,0,1,0,0,0,13,39,4,20,0,0,0,0,1,74
80,19,0,0,0,0,0,9,25,5,19,1,1,2,0,1,93
81,19,0,0,0,0,0,9,25,5,19,1,1,2,0,1,93
82,16,0,0,0,0,0,10,27,1,18,0,0,3,0,1,102
83,16,0,0,0,0,0,5,15,0,8,1,1,0,0,1,59
84,23,0,0,0,0,0,12,42,0,20,0,0,2,0,1,70
85,25,0,1,0,0,0,5,15,1,9,0,0,0,0,1,29
86,25,0,1,0,0,0,7,19,1,11,0,0,0,0,1,29
87,23,0,0,0,0,0,12,42,0,20,0,0,2,0,1,70
88,18,0,0,0,0,0,5,14,6,17,1,1,1,0,1,112
89,18,0,0,0,0,0,5,14,6,17,1,1,1,0,1,112
90,18,0,0,0,0,0,5,14,6,17,1,1,1,0,1,112
91,18,0,0,0,0,0,5,14,6,17,1,1,1,0,1,112
92,18,0,0,0,0,0,5,14,6,17,1,1,1,0,1,112
93,18,0,0,0,0,0,5,14,6,17,1,1,1,0,1,112
94,18,0,0,0,0,0,5,14,6,17,1,1,1,0,1,112
95,18,0,0,0,0,0,5,14,6,17,1,1,1,0,1,112
96,18,0,0,0,0,0,5,14,6,17,1,1,1,0,1,112
97,18,0,0,0,0,0,5,14,6,17,1,1,1,0,1,112
98,18,0,0,0,0,0,5,14,6,17,1,1,1,0,1,112
99,18,0,0,0,0,0,5,14,6,17,1,1,1,0,1,112
100,18,0,0,0,0,0,5,14,6,17,1,1,1,0,1,112
101,18,0,0,0,0,0,5,14,6,17,1,1,1,0,1,112
102,18,0,0,0,0,0,5,14,6,17,1,1,1,0,1,112
103,18,0,0,0,0,0,5,14,6,17,1,1,1,0,1,112
104,18,0,0,0,0,0,5,14,6,17,1,1,1,0,1,112
105,16,0,0,0,0,0,3,10,0,6,1,1,1,0,1,53
106,18,0,0,0,0,0,2,7,2,6,0,0,1,0,1,51
107,18,0,0,0,0,0,5,14,6,17,1,1,1,0,1,112
108,18,0,0,0,0,0,5,14,6,17,1,1,1,0,1,112
109,18,0,0,0,0,0,5,14,6,17,1,1,1,0,1,112
110,19,0,0,0,0,0,8,22,6,15,1,1,2,0,1,85
111,16,0,0,0,0,0,8,25,3,18,0,0,0,0,1,94
112,16,0,0,0,0,0,5,18,3,25,0,0,0,0,1,79
113,19,0,0,0,0,0,6,16,2,14,0,0,1,0,1,90
114,18,0,0,0,0,0,6,17,2,16,1,1,1,0,1,89
115,18,0,0,0,0,0,7,24,1,15,1,2,0,0,1,91
116,24,0,0,0,0,1,7,15,2,21,1,1,1,0,1,87
117,25,0,0,0,0,0,5,12,0,13,0,0,1,0,1,83
118,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
119,18,0,0,0,0,0,5,13,6,17,0,0,1,0,1,112
120,18,0,0,0,0,0,5,13,6,17,0,0,1,0,1,112
121,15,0,0,0,0,0,3,11,3,9,0,0,1,0,1,67
122,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24
123,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24
124,33,1,0,0,0,1,1,4,0,1,0,0,0,0,1,83
125,23,0,0,0,0,0,5,13,4,8,1,1,1,0,1,53
126,31,0,0,1,2,0,1,3,0,1,1,1,0,0,1,55
127,19,0,0,0,0,0,1,3,0,1,0,0,0,0,1,82
128,16,0,0,0,0,0,11,34,4,38,0,0,1,0,1,79
129,35,0,0,2,11,0,2,7,0,8,1,1,1,1,1,6
130,38,0,0,2,14,0,2,9,0,7,1,1,1,1,1,7
131,19,0,0,0,0,0,5,15,2,11,0,0,1,0,1,89
132,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,76
133,17,0,0,0,0,0,4,14,0,6,1,1,0,0,1,41
134,18,0,0,0,0,0,1,3,0,1,1,1,0,0,1,67
135,20,0,0,0,0,0,12,37,7,32,0,0,2,0,1,87
136,19,0,1,0,0,0,9,31,3,19,0,0,0,0,1,93
137,30,0,0,0,0,0,3,7,1,3,0,0,1,0,1,106
138,19,0,0,0,0,0,2,7,0,3,1,1,0,0,1,49
139,19,0,0,0,0,0,2,7,0,3,1,1,0,0,1,49
140,23,0,0,0,0,0,2,6,0,3,1,1,0,0,1,44
141,27,0,1,0,0,0,2,10,4,9,1,1,0,0,1,49
142,19,0,1,0,0,0,2,10,4,8,1,1,0,0,1,49
143,23,0,0,0,0,0,4,15,1,10,1,1,0,0,1,60
144,19,0,1,0,0,0,10,30,4,14,1,1,0,0,1,74
145,18,0,2,0,0,0,2,6,2,5,0,0,0,0,1,86
146,15,0,0,0,0,0,22,65,4,28,1,1,0,0,1,74
147,18,0,0,0,0,0,3,10,2,8,0,0,0,0,1,32
148,23,0,0,2,2,0,2,9,0,7,1,1,1,1,1,12
149,35,0,0,1,15,0,2,9,0,7,1,1,1,1,1,10
150,13,0,0,0,0,0,8,28,1,17,1,1,0,0,1,94
151,37,0,0,2,13,0,2,9,0,7,1,1,1,1,1,7
152,20,0,1,0,0,1,2,6,2,5,0,0,0,0,1,86
153,23,0,0,0,0,0,4,15,1,10,1,1,0,0,1,60
154,19,0,1,0,0,0,17,47,2,28,0,0,0,0,1,73
155,21,0,0,0,0,0,2,4,1,2,0,0,0,0,1,19
156,18,0,0,0,0,0,1,1,0,1,0,0,0,2,1,28
157,18,0,0,0,0,0,1,1,0,1,0,0,0,2,1,28
158,19,0,1,0,0,0,8,21,2,13,0,0,0,0,1,61
159,17,0,0,0,0,0,1,5,0,1,0,0,0,0,1,18
160,21,0,0,0,0,0,3,5,0,3,0,0,0,0,1,24
161,26,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2
162,18,0,0,0,0,0,3,11,7,8,0,0,0,0,1,59
163,23,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2
164,27,0,0,0,0,0,3,6,0,4,1,1,0,0,1,27
165,17,0,0,0,0,0,1,7,0,1,1,1,0,0,1,50
166,17,0,0,0,0,0,1,7,0,1,1,1,0,0,1,50
167,23,0,0,0,0,0,6,21,4,14,0,0,0,0,1,60
168,18,0,0,0,0,0,3,7,0,5,0,0,1,0,1,68
169,24,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
170,26,0,0,2,5,0,2,9,0,7,1,1,1,1,1,6
171,26,0,0,2,5,0,2,9,0,7,1,1,1,1,1,6
172,18,0,0,0,0,0,6,16,6,10,0,0,2,0,1,75
173,24,0,0,0,0,1,1,2,0,1,0,0,0,0,1,83
174,18,0,0,0,0,0,6,16,2,11,0,0,2,0,1,101
175,23,0,0,0,0,0,4,12,0,6,0,0,1,0,1,44
176,18,0,0,0,0,0,11,30,4,20,1,1,5,0,1,119
177,18,0,0,0,0,0,1,4,1,2,0,0,0,0,1,74
178,18,0,0,0,0,0,1,4,1,2,0,0,0,0,1,74
179,30,0,0,0,0,0,2,8,0,2,0,0,0,0,1,38
180,30,0,0,0,0,0,2,8,0,2,0,0,0,0,1,38
181,30,0,0,0,0,0,2,8,0,2,0,0,0,0,1,38
182,23,0,0,0,4,0,2,6,0,8,1,1,1,1,1,9
183,25,0,1,0,0,0,1,7,1,5,0,0,0,2,1,25
184,25,0,1,0,0,0,1,7,1,5,0,0,0,2,1,25
185,22,0,0,0,0,0,12,41,16,21,0,0,2,0,1,70
186,18,0,0,0,0,0,5,17,3,10,0,0,0,0,1,54
187,18,0,0,0,0,0,7,20,7,24,0,0,1,0,1,57
188,20,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0
189,29,0,0,0,0,0,3,8,1,3,0,0,1,0,1,103
190,22,0,0,0,0,0,12,41,8,20,0,0,2,0,1,72
191,20,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
192,17,0,0,0,0,0,4,14,0,18,1,1,1,0,1,41
193,19,0,1,0,0,0,9,32,2,23,1,1,0,0,1,95
194,13,0,0,0,0,0,8,28,1,17,1,1,0,0,1,89
195,19,0,1,0,0,0,8,27,2,14,1,1,0,0,1,61
196,31,1,0,0,0,0,4,14,0,7,0,0,2,0,1,32
197,21,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0
198,20,0,1,0,0,0,2,9,0,6,0,0,0,0,1,50
199,30,0,0,2,6,0,2,9,0,7,1,1,1,1,1,5
200,17,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
201,31,1,0,0,0,0,4,14,0,6,0,0,2,0,1,33
202,22,0,0,0,0,1,4,13,2,8,1,1,0,0,1,59
203,19,0,1,0,0,0,3,14,1,14,1,1,0,0,1,58
204,19,0,0,0,0,0,5,14,2,11,0,0,1,0,1,91
205,19,0,1,0,0,0,9,27,1,20,1,1,2,0,1,97
206,19,0,1,0,0,0,9,27,1,20,1,1,2,0,1,97
207,25,0,0,0,0,0,5,20,2,13,0,0,2,0,1,58
208,30,0,0,0,0,0,15,35,0,26,0,0,2,0,1,71
209,18,0,0,0,0,0,6,18,2,16,1,1,1,0,1,88
210,18,0,0,0,0,0,9,23,1,14,1,1,2,0,1,69
211,15,0,0,0,0,0,4,15,0,7,1,3,0,0,1,56
212,18,0,0,0,0,0,7,19,3,16,0,0,1,0,1,72
213,35,0,0,2,14,0,2,6,0,8,1,1,1,1,1,4
214,17,0,0,0,0,0,6,16,1,6,1,1,0,0,1,61
215,19,0,1,0,0,0,13,34,4,34,0,0,3,0,1,102
216,22,0,0,0,0,0,12,41,16,21,0,0,2,0,1,71
217,30,0,0,2,9,0,2,6,0,8,1,1,1,1,1,5
218,18,0,0,0,0,0,34,78,41,130,1,1,32,0,1,74
219,18,0,0,0,0,0,34,78,41,130,1,1,32,0,1,74
220,19,0,0,0,0,0,6,15,3,14,0,0,1,0,1,105
221,18,0,0,0,0,0,2,8,3,4,1,1,0,0,1,77
222,26,0,0,0,0,0,3,11,0,6,0,0,1,0,1,57
223,17,0,0,0,0,0,9,26,2,22,1,2,2,0,1,83
224,19,0,1,0,0,0,22,65,5,68,0,0,0,0,1,120
225,19,0,1,0,0,0,3,9,0,5,1,1,1,0,1,40
226,16,0,0,0,0,0,2,7,1,3,0,0,0,0,1,38
227,19,0,0,0,0,0,13,35,1,18,0,0,1,0,1,92
228,18,0,0,0,0,0,3,11,6,4,1,1,0,0,1,59
229,18,0,0,0,0,0,2,5,1,2,0,0,0,0,1,3
230,17,0,0,0,0,0,4,13,1,10,1,1,0,0,1,2
231,17,0,0,0,0,0,11,33,1,23,1,1,0,0,1,92
232,19,0,0,0,0,0,13,34,1,19,1,1,1,0,1,92
233,17,0,0,0,0,0,3,16,0,7,1,1,1,0,1,65
234,32,0,0,2,12,0,2,9,0,7,1,1,1,1,1,5
235,17,0,0,0,0,0,5,13,10,6,1,1,0,0,1,46
236,18,0,0,0,0,0,3,7,0,5,0,0,2,0,1,47
237,18,0,0,0,0,0,11,31,4,20,1,1,5,0,1,119
238,22,0,0,0,0,0,12,43,16,21,0,0,2,0,1,70
239,18,0,0,0,0,0,2,7,0,2,1,1,0,0,1,71
240,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
241,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
242,19,0,1,0,0,0,2,6,1,2,0,0,0,0,1,80
243,22,0,0,0,0,0,6,14,0,8,0,0,1,0,1,49
244,22,0,0,0,0,0,6,14,0,8,0,0,1,0,1,49
245,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
246,18,0,0,0,0,0,5,14,2,11,0,0,1,0,1,89
247,23,0,0,0,0,1,3,9,3,6,0,0,2,0,1,62
248,18,0,0,0,0,0,6,16,5,24,1,1,1,0,1,69
249,18,0,0,0,0,0,3,10,2,8,0,0,0,0,1,32
250,18,0,0,0,0,0,5,11,3,11,0,0,3,0,1,101
251,20,0,1,0,0,0,4,10,4,12,1,1,1,0,1,58
252,18,0,0,0,0,0,22,43,0,30,0,0,0,0,1,109
253,18,0,0,0,0,0,5,13,2,14,1,1,0,0,1,54
254,18,0,0,0,0,0,5,16,8,12,1,1,1,0,1,48
255,32,0,0,2,12,0,2,5,0,7,0,0,1,1,1,4
256,36,0,0,2,11,0,2,6,0,8,1,1,1,1,1,6
257,19,0,1,0,0,0,13,39,3,19,0,0,0,0,1,86
258,29,0,0,2,9,0,2,6,0,7,1,1,1,1,1,6
259,24,0,0,2,3,0,2,6,0,7,1,1,1,1,1,6
260,30,1,0,0,0,0,2,9,1,5,1,1,0,0,1,50
261,27,0,0,0,0,0,2,5,1,2,0,0,0,0,1,79
262,31,0,0,2,6,0,2,6,0,7,1,1,1,1,1,7
263,23,1,0,0,0,0,7,28,7,23,1,1,0,0,1,105
264,30,1,0,0,0,0,2,7,0,6,0,0,1,0,1,51
265,30,1,0,0,0,0,2,7,0,6,0,0,1,0,1,51
266,16,0,0,0,0,0,3,9,0,4,1,1,1,0,1,60
267,18,0,0,0,0,0,9,24,0,17,1,1,3,0,1,93
268,19,0,1,0,0,0,13,41,4,34,0,0,3,0,1,104
269,19,0,1,0,0,0,13,41,4,34,0,0,3,0,1,106
270,19,0,1,0,0,0,13,41,4,34,0,0,3,0,1,106
271,34,0,0,1,13,0,2,6,0,7,1,1,1,1,1,10
272,15,0,0,0,0,0,23,84,14,114,0,0,0,0,1,135
273,21,0,1,0,0,0,3,8,1,8,0,0,1,0,1,83
274,21,0,0,0,0,1,4,16,0,6,0,0,1,0,1,70
275,29,0,0,0,0,0,2,8,0,2,0,0,0,0,1,42
276,18,0,0,0,0,0,5,16,8,12,1,1,1,0,1,48
277,18,0,0,0,0,0,5,16,8,12,1,1,1,0,1,48
278,20,0,0,0,0,0,1,4,0,1,1,1,0,0,1,37
279,15,0,0,0,0,0,14,74,4,19,1,1,3,0,1,102
280,27,0,0,2,7,0,2,6,0,8,1,1,1,1,1,6
281,17,0,0,0,0,0,11,29,3,21,0,0,5,0,1,120
282,21,0,1,0,0,0,3,9,0,3,0,0,1,0,1,49
283,18,0,0,0,0,0,11,33,1,18,0,0,4,0,1,121
284,16,0,0,0,0,0,5,13,5,13,1,1,0,0,1,59
285,30,0,0,2,10,0,2,6,0,8,1,1,1,1,1,8
286,15,0,0,0,0,0,10,57,2,18,1,1,0,0,1,109
287,24,0,2,0,0,0,2,6,4,3,0,0,1,1,1,70
288,19,0,1,0,0,0,13,41,2,20,0,0,3,0,1,103
289,19,0,0,0,0,0,2,11,3,3,0,0,0,0,1,46
290,20,0,0,0,0,0,1,4,0,1,1,1,0,0,1,37
291,15,0,0,0,0,0,14,38,2,29,0,0,0,0,1,86
292,23,0,1,0,0,0,3,8,1,7,0,0,1,0,1,59
293,20,0,0,0,3,0,0,0,0,0,0,0,0,0,1,250
294,27,0,0,1,7,0,2,6,0,8,1,1,1,1,1,12
295,15,0,0,0,0,0,10,57,2,18,1,1,0,0,1,109
296,19,0,1,0,0,0,13,42,4,34,1,1,3,0,1,110
297,35,0,0,0,0,0,2,7,1,2,1,1,0,0,1,79
298,16,0,0,0,0,0,5,15,4,15,0,0,3,0,1,55
299,18,0,0,0,0,0,5,15,7,13,1,1,1,0,1,63
300,27,0,0,1,0,0,7,19,4,20,1,1,1,0,1,88
301,27,0,0,1,0,0,7,19,4,20,1,1,1,0,1,88
302,17,0,0,0,0,0,13,43,2,21,1,1,3,0,1,108
303,18,0,0,0,0,0,3,9,1,9,1,1,1,0,1,67
304,20,0,0,0,3,0,0,0,0,0,0,0,0,0,1,250
305,20,0,0,0,3,0,0,0,0,0,0,0,0,0,1,250
306,21,0,1,0,0,0,3,7,1,7,0,0,1,0,1,59
307,16,0,0,0,0,0,6,18,1,18,1,1,0,0,1,75
308,19,0,1,0,0,0,2,6,2,2,0,0,0,0,1,65
309,18,0,0,0,0,0,5,15,4,15,0,0,3,0,1,54
310,37,0,0,0,0,1,2,7,0,2,1,1,0,0,1,81
311,31,0,0,2,0,0,1,2,0,1,0,0,0,0,1,4
312,21,0,1,0,0,0,3,8,1,7,0,0,1,0,1,59
313,18,0,0,0,0,0,8,20,2,16,0,0,3,0,1,73
314,18,0,0,0,0,0,5,13,5,13,1,1,0,0,1,60
315,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
316,18,0,0,0,0,0,5,15,2,13,0,0,0,0,1,54
317,0,0,0,0,0,0,5,13,5,13,1,1,0,0,1,60
318,23,0,0,0,0,0,3,7,0,3,0,0,0,0,1,70
319,18,0,0,0,0,0,3,10,0,4,0,0,0,0,1,29
320,18,0,0,0,0,0,21,61,1,70,1,1,16,0,1,119
321,26,1,0,0,0,0,5,14,1,9,0,0,1,0,1,42
322,36,0,0,0,0,0,2,8,2,2,0,0,1,2,1,58
323,17,0,1,0,0,0,1,4,0,1,0,0,0,1,1,72
324,16,0,1,0,0,0,2,5,0,2,0,0,0,1,1,71
325,22,0,1,0,0,0,9,27,2,21,0,0,0,0,1,47
326,22,0,1,0,0,0,7,21,2,13,0,0,0,0,1,47
327,22,0,1,0,0,0,6,19,1,12,0,0,0,0,1,47
328,34,1,2,0,7,0,1,7,0,1,0,0,0,1,1,13
329,26,1,0,1,5,0,1,7,0,1,0,0,0,1,1,36
330,30,1,1,1,7,0,1,7,0,1,0,0,0,1,1,47
331,38,1,0,2,12,0,1,7,0,1,0,0,0,1,1,50
332,29,0,0,1,14,0,1,8,0,1,0,0,0,1,1,18
333,37,1,0,2,10,0,1,7,0,1,0,0,0,1,1,37
334,27,0,0,1,9,0,1,8,0,1,0,0,0,1,1,25
335,37,1,1,0,10,0,1,7,0,1,0,0,0,1,1,39
336,38,1,0,3,10,0,1,7,0,1,0,0,0,1,1,42
337,38,0,1,0,14,0,1,8,0,1,0,0,0,1,1,33
338,28,1,0,2,5,0,1,7,0,1,0,0,0,1,1,37
339,28,1,0,1,5,0,1,7,0,1,0,0,0,1,1,34
340,31,1,1,0,13,0,1,7,0,1,0,0,0,1,1,27
341,31,0,1,0,7,0,1,8,0,1,0,0,0,1,1,28
342,35,1,1,0,13,0,1,7,0,1,0,0,0,1,1,32
343,36,0,0,1,17,0,1,8,0,1,0,0,0,1,1,27
344,32,1,0,2,5,0,1,7,0,1,0,0,0,1,1,42
345,33,1,0,1,12,0,1,7,0,1,0,0,0,1,1,27
346,34,0,0,1,10,0,1,8,0,1,0,0,0,1,1,24
347,33,1,0,2,10,0,1,7,0,1,0,0,0,1,1,32
348,40,0,1,0,16,0,1,8,0,1,0,0,0,1,1,44
349,30,0,0,1,14,0,1,8,0,1,0,0,0,1,1,33
350,44,0,1,1,12,0,1,7,0,1,0,0,0,1,1,25
351,32,0,0,1,10,0,1,6,0,1,0,0,0,1,1,21
352,24,0,0,1,7,0,1,7,0,1,0,0,0,1,1,6
353,28,0,0,1,6,0,1,6,0,1,0,0,0,1,1,2
354,31,0,0,1,9,0,1,6,0,1,0,0,0,1,1,5
355,20,0,0,0,0,0,3,8,4,7,0,0,0,0,1,37
356,34,0,1,0,6,0,1,6,0,1,0,0,0,1,1,26
357,40,0,1,0,13,1,1,6,0,1,0,0,0,1,1,21
358,39,0,0,1,14,1,1,6,0,1,0,0,0,1,1,33
359,39,0,1,0,9,1,1,6,0,1,0,0,0,1,1,31
360,42,0,1,0,15,1,1,6,0,1,0,0,0,1,1,22
361,46,0,1,0,13,1,1,6,0,1,0,0,0,1,1,28
362,24,0,1,0,7,0,1,6,0,1,0,0,0,1,1,5
363,34,0,1,0,7,1,1,6,0,1,0,0,0,1,1,30
364,47,0,0,0,15,1,1,6,0,1,0,0,0,1,1,21
365,41,0,0,1,15,1,1,6,0,1,0,0,0,1,1,20
366,47,0,1,0,17,1,1,6,0,1,0,0,0,1,1,47
367,15,0,0,0,0,0,14,67,4,19,1,1,3,0,1,102
368,28,0,0,2,7,0,1,6,0,1,0,0,0,1,1,4
369,24,0,1,0,7,0,1,4,0,1,0,0,0,1,1,5
370,21,0,1,0,7,0,1,5,0,1,0,0,0,1,1,6
371,20,0,1,0,6,0,1,5,0,1,0,0,0,1,1,4
372,38,0,0,0,12,1,1,6,0,1,0,0,0,1,1,19
373,46,0,1,0,10,1,1,6,0,1,0,0,0,1,1,22
374,42,0,0,1,15,1,1,6,0,1,0,0,0,1,1,22
375,35,0,1,0,7,1,1,6,0,1,0,0,0,1,1,24
376,40,0,1,0,15,1,1,6,0,1,0,0,0,1,1,38
377,46,0,1,0,11,1,1,6,0,1,0,0,0,1,1,29
378,50,0,0,1,17,1,1,6,0,1,0,0,0,1,1,31
379,44,0,0,1,13,1,1,7,0,1,0,0,0,1,1,24
380,49,0,1,0,15,1,1,7,0,1,0,0,0,1,1,35
381,28,0,0,0,0,0,2,8,0,2,1,1,0,0,1,44
382,36,0,0,1,9,1,1,6,0,1,0,0,0,1,1,33
383,19,0,1,0,0,0,13,37,2,19,1,1,3,0,1,100
384,36,0,1,0,12,0,1,8,0,1,0,0,0,1,1,28
385,31,0,1,0,7,1,1,6,0,1,0,0,0,1,1,29
386,35,0,0,1,12,1,1,6,0,1,0,0,0,1,1,26
387,39,0,1,0,10,1,1,6,0,1,0,0,0,1,1,27
388,42,0,0,1,10,0,1,6,0,1,0,0,0,1,1,31
389,29,0,1,0,15,0,1,6,0,1,0,0,0,1,1,24
390,31,0,1,0,13,0,1,6,0,1,0,0,0,1,1,27
391,49,0,1,0,9,0,1,6,0,1,0,0,0,1,1,22
392,20,0,1,0,7,0,1,6,0,1,0,0,0,1,1,4
393,40,0,0,1,13,1,1,6,0,1,0,0,0,1,1,26
394,34,0,0,1,14,0,1,6,0,1,0,0,0,1,1,32
395,41,0,1,0,12,1,1,6,0,1,0,0,0,1,1,32
396,41,0,0,1,12,0,1,6,0,1,0,0,0,1,1,38
397,41,0,0,0,9,1,1,6,0,1,0,0,0,1,1,20
398,37,0,1,0,8,1,1,6,0,1,0,0,0,1,1,20
399,36,0,1,0,5,0,1,6,0,1,0,0,0,1,1,34
400,40,0,1,0,7,1,1,6,0,1,0,0,0,1,1,23
401,28,0,1,0,11,0,1,6,0,1,0,0,0,1,1,31
402,36,0,0,1,7,0,1,5,0,2,0,0,0,1,1,27
403,22,0,0,0,7,0,1,6,0,1,0,0,0,1,1,28
404,40,0,0,0,14,0,1,6,0,1,0,0,0,1,1,23
405,45,0,1,0,17,1,1,6,0,1,0,0,0,1,1,27
