,lengthOfEmailId,noOfDotsInEmailId,noOfDashesInEmailId,noOfSpecialCharsInEmailId,noOfDigitsInEmailId,noOfSubdomainsInEmailId,noOfUrls,noOfDotsInUrls,noOfDashesInUrls,noOfSpecialCharsInUrls,hasIpAddressInUrls,noOfIpAddressInUrls,noOfHttpsLinks,no_of_attachments,class_label,noOfMaliciousWords
1695,20,0,0,0,0,1,34,102,4,104,1,1,1,0,1,131
1696,36,0,1,0,15,0,1,5,0,2,0,0,0,1,1,33
1697,16,0,0,0,0,0,8,18,1,14,0,0,0,0,1,91
1698,24,0,1,0,0,1,21,68,13,85,0,0,0,0,1,122
1699,22,0,0,0,0,0,2,6,1,3,0,0,1,0,1,71
1700,15,0,0,0,0,0,1,3,2,3,0,0,0,0,1,69
1701,17,0,0,0,0,0,10,34,2,32,1,1,0,0,1,46
1702,27,0,2,0,0,1,3,12,0,4,0,0,0,0,1,35
1703,27,0,2,0,0,1,3,13,0,4,0,0,0,0,1,34
1704,15,0,0,0,0,0,10,22,2,18,0,0,0,0,1,56
1705,27,0,1,0,0,0,3,12,6,3,0,0,0,0,1,30
1706,14,0,0,0,0,0,10,22,2,18,0,0,0,0,1,56
1707,17,0,0,0,0,0,10,22,2,18,0,0,0,0,1,56
1708,13,0,0,0,0,0,10,22,2,18,0,0,0,0,1,56
1709,34,0,0,0,15,0,1,5,0,2,0,0,0,1,1,29
1710,14,0,0,0,0,0,10,22,2,18,0,0,0,0,1,56
1711,27,0,2,0,0,1,3,13,0,4,0,0,0,0,1,34
1712,21,0,0,0,0,1,3,15,1,12,0,0,0,0,1,105
1713,19,0,1,0,0,0,6,17,0,7,0,0,0,0,1,72
1714,16,0,0,0,0,0,4,13,0,9,0,0,0,0,1,41
1715,19,0,1,0,0,0,6,17,0,7,0,0,0,0,1,72
1716,23,0,0,0,0,1,3,7,0,4,0,0,1,0,1,43
1717,22,0,0,0,0,0,2,8,0,2,0,0,1,0,1,103
1718,17,0,0,0,0,0,10,26,13,31,0,0,2,0,1,90
1719,37,0,0,0,0,1,2,6,0,5,0,0,0,0,1,30
1720,28,0,1,0,7,0,1,5,0,2,0,0,0,1,1,28
1721,37,0,0,0,0,1,2,6,0,5,0,0,0,0,1,30
1722,15,0,0,0,0,0,2,7,0,2,0,0,0,0,1,2
1723,19,0,0,0,0,0,3,7,0,4,0,0,1,0,1,43
1724,17,0,0,0,0,0,10,26,13,31,0,0,2,0,1,90
1725,17,0,0,0,0,0,13,44,2,25,1,1,0,0,1,103
1726,33,0,0,1,15,0,1,5,0,2,0,0,0,1,1,25
1727,18,0,0,0,0,0,10,26,13,31,0,0,2,0,1,90
1728,19,0,1,0,0,0,6,17,0,7,0,0,0,0,1,71
1729,20,0,0,0,3,0,1,4,0,1,0,0,0,0,1,97
1730,20,0,0,0,3,0,1,4,0,1,0,0,0,0,1,97
1731,19,0,1,0,0,0,6,17,0,7,0,0,0,0,1,71
1732,20,0,0,0,3,0,1,4,0,1,0,0,0,0,1,97
1733,20,0,0,0,3,0,1,4,0,1,0,0,0,0,1,97
1734,16,0,0,0,0,0,10,22,2,18,0,0,0,0,1,56
1735,16,0,0,0,0,0,10,22,2,18,0,0,0,0,1,56
1736,19,0,0,0,0,0,3,9,0,3,1,1,0,0,1,61
1737,19,0,0,0,0,0,3,9,0,3,1,1,0,0,1,61
1738,18,0,0,0,0,0,4,15,2,8,0,0,1,0,1,43
1739,19,0,1,0,0,0,15,46,6,24,1,1,0,0,1,81
1740,18,0,0,0,0,0,20,60,2,55,0,0,1,0,1,2
1741,29,0,1,0,10,0,1,5,0,2,0,0,0,1,1,22
1742,15,0,0,0,0,0,14,35,2,24,0,0,0,0,1,4
1743,19,0,0,0,0,0,1,3,0,1,0,0,0,0,1,57
1744,16,0,0,0,0,0,10,28,13,31,0,0,2,0,1,90
1745,22,1,0,0,0,0,21,73,6,72,0,0,0,0,1,101
1746,22,1,0,0,0,0,21,73,6,72,0,0,0,0,1,101
1747,16,0,0,0,0,0,2,7,0,7,0,0,0,0,1,24
1748,18,0,0,0,0,0,20,64,5,56,0,0,1,0,1,2
1749,22,0,0,0,0,0,1,6,0,1,0,0,0,0,1,17
1750,22,0,0,0,0,0,3,10,0,7,1,1,1,0,1,42
1751,18,0,0,0,0,0,20,64,5,56,0,0,1,0,1,2
1752,15,0,0,0,0,0,22,66,8,80,0,0,0,0,1,102
1753,31,0,2,0,0,1,2,6,1,3,0,0,0,0,1,48
1754,18,0,0,0,0,0,10,26,13,31,0,0,2,0,1,90
1755,22,0,0,0,0,0,10,22,2,18,0,0,0,0,1,56
1756,19,0,1,0,0,0,8,25,5,43,0,0,1,0,1,88
1757,16,0,0,0,0,0,10,22,2,18,0,0,0,0,1,56
1758,28,0,0,1,8,0,1,5,0,2,0,0,0,1,1,21
1759,14,0,0,0,0,0,10,22,2,18,0,0,0,0,1,56
1760,19,0,0,0,0,1,8,42,8,22,0,0,2,0,1,50
1761,14,0,0,0,0,0,10,22,2,18,0,0,0,0,1,56
1762,18,0,0,0,0,0,20,64,5,56,0,0,1,0,1,2
1763,19,0,1,0,0,0,8,25,5,43,0,0,1,0,1,88
1764,19,0,0,0,0,0,4,12,2,9,0,0,1,0,1,56
1765,18,0,0,0,0,0,8,25,3,19,0,0,3,0,1,67
1766,23,0,0,0,0,0,2,7,1,3,0,0,1,0,1,103
